OBJECTID,LANDMARKID,LANDMARK,CATEGORY,SUBCATEGORY,CIVIC_NO,STREET,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE
126,5380,ISLAMIC HUMANITARIAN SERVICE,MOSQUE,MUSLUM,81,HOLLINGER CRES,543457.4227,4814338.7949,2010-04-14,2010-04-14,WEB,2010-04-14
127,2721,FIRST ROMANIAN BAPTIST CHURCH,CHURCH,BAPTIST,1720,GLASGOW ST,535393.1264,4808265.9206,2004-01-09,2010-09-01,WWW.YELLOWPAGES.CA 2006,2006-01-12
128,81,OLIVET UNITED CHURCH,CHURCH,UNITED,47,ONWARD AVE,542782.4441,4810188.9993,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
129,94,BENTON STREET BAPTIST CHURCH,CHURCH,BAPTIST,90,BENTON ST,541273.5997,4810616.7568,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
130,27,PIONEER PARK CHRISTIAN FELLOWSHIP MENNONITE,CHURCH,MENNONITE,68,BIEHN DR,544143.5693,4804859.1126,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
131,3443,PATHWAY COMMUNITY CHURCH,CHURCH,BRETHERN IN CHRIST,10,PIONEER DR,546074.3952,4804998.4142,2006-01-12,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
132,3452,THE VICTORIOUS CHURCH,CHURCH,CANADIAN FELLOWSHIP OF CHURCHES AND MINISTRIES,659,KING ST E,542208.0375,4810321.0072,2006-01-12,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
133,30,KITCHENER-WATERLOO CHRISTIAN FELLOWSHIP,CHURCH,CHRISTIAN,1000,BLEAMS RD,541513.6805,4805851.2246,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
134,84,BETHANY EVANGELICAL MISSIONARY CHURCH,CHURCH,EVANGELICAL MISSIONARY,160,LANCASTER ST E,541991.1792,4811173.5056,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
135,68,CENTRAL BAPTIST CHURCH,CHURCH,BAPTIST,358,OTTAWA ST S,542157.318,4809134.5617,2016-05-10,2010-04-19,WWW.YELLOWPAGES.CA 2006,2006-01-12
136,7032,SPANISH CHURCH OF GOD EBEN-EZER,CHURCH,CHURCH OF GOD,316,WELLINGTON ST N,541426.1467,4811992.2758,2014-05-21,2014-05-21,ORTHO 2012,2012-04-01
137,5378,KITCHENER MASJID,MOSQUE,MUSLUM,1017,VICTORIA ST N,543653.519,4812573.514,2010-04-14,2014-05-07,WEB,2010-04-14
138,3259,EL SHADDAI OUTREACH MINISTRIES,CHURCH,CANADIAN FELLOWSHIP OF CHURCHES AND MINISTRIES,659,KING ST E,542201.1823,4810325.3342,2005-08-02,2015-10-01,WWW.YELLOWPAGES.CA 2006,2006-01-12
